comb	times
ฉฉ	0.0
ฉช	0.0
ฉซ	0.0
ฉญ	0.0
ฉฏ	0.0
ฉฐ	0.0
ฉณ	0.0
ฉด	1.0
ฉต	0.0
ฉถ	0.0
ฉท	0.0
ฉธ	0.0
ฉน	2.0
ฉบ	1.0
ฉป	0.0
ฉผ	0.0
ฉฝ	0.0
ฉพ	0.0
ฉฟ	0.0
ฉภ	0.0
ฉม	0.0
ฉย	0.0
ฉร	0.0
ฉฤ	0.0
ฉล	2.0
ฉว	0.0
ฉศ	0.0
ฉษ	0.0
ฉส	0.0
ฉห	0.0
ฉอ	0.0
ฉฮ	0.0
ฉะ	36.0
ฉั	23.0
ฉา	2.0
ฉำ	0.0
ฉิ	0.0
ฉี	0.0
ฉึ	0.0
ฉื	0.0
ฉุ	0.0
ฉู	0.0
ฉเ	0.0
ฉแ	0.0
ฉโ	0.0
ฉใ	0.0
ฉไ	0.0
ฉๆ	0.0
ฉ็	0.0
ฉ่	0.0
ฉ้	0.0
ฉ๋	0.0
ฉ์	0.0
ฉ‘	0.0
ฉ’	0.0
ฉ“	0.0
ฉ”	0.0
ชก	0.0
ชข	4.0
ชค	0.0
ชฆ	0.0
ชง	0.0
ชจ	0.0
ชฉ	0.0
ชช	0.0
ชซ	0.0
ชญ	9.0
ชฏ	0.0
ชฐ	0.0
ชณ	0.0
ชด	0.0
ชต	0.0
ชถ	0.0
ชท	0.0
ชธ	0.0
ชน	47.0
ชบ	74.0
ชป	0.0
ชผ	0.0
ชฝ	0.0
ชพ	0.0
ชฟ	0.0
ชภ	0.0
ชม	2.0
ชย	1.0
ชร	0.0
ชฤ	0.0
ชล	1.0
ชว	0.0
ชศ	0.0
ชษ	0.0
ชส	0.0
ชห	0.0
ชอ	94.0
ชฮ	0.0
ชะ	0.0
ชั	27.0
ชา	83.0
ชำ	0.0
ชิ	1.0
ชี	41.0
ชึ	0.0
ชื	112.0
ชุ	6.0
ชู	5.0
ชเ	0.0
ชแ	0.0
ชโ	0.0
ชใ	0.0
ชไ	0.0
ชๆ	0.0
ช็	0.0
ช่	93.0
ช้	44.0
ช๋	0.0
ช์	0.0
ช‘	0.0
ช’	0.0
ช“	0.0
ช”	0.0
ซก	0.0
ซข	0.0
ซค	0.0
ซฆ	0.0
ซง	0.0
ซจ	0.0
ซฉ	0.0
ซช	0.0
ซซ	0.0
ซญ	0.0
ซฏ	0.0
ซฐ	0.0
ซณ	0.0
ซด	0.0
ซต	0.0
ซถ	0.0
ซท	0.0
ซธ	0.0
ซน	0.0
ซบ	0.0
ซป	0.0
ซผ	0.0
ซฝ	0.0
ซพ	0.0
ซฟ	0.0
ซภ	0.0
ซม	0.0
ซย	0.0
ซร	0.0
ซฤ	0.0
ซล	0.0
ซว	0.0
ซศ	0.0
ซษ	0.0
ซส	0.0
ซห	0.0
ซอ	0.0
ซฮ	0.0
ซะ	0.0
ซั	0.0
ซา	8.0
ซำ	0.0
ซิ	3.0
ซี	1.0
ซึ	161.0
ซื	3.0
ซุ	0.0
ซู	40.0
ซเ	0.0
ซแ	0.0
ซโ	0.0
ซใ	0.0
ซไ	0.0
ซๆ	0.0
ซ็	0.0
ซ่	0.0
ซ้	2.0
ซ๋	0.0
ซ์	0.0
ซ‘	0.0
ซ’	0.0
ซ“	0.0
ซ”	0.0
ญก	0.0
ญข	3.0
ญค	0.0
ญฆ	0.0
ญง	0.0
ญจ	1.0
ญฉ	0.0
