comb	times
Id	0.0
Ie	0.0
If	6.0
Ig	0.0
Ih	0.0
Ii	0.0
Ij	0.0
Ik	0.0
Il	1.0
Im	0.0
In	12.0
Io	0.0
Ip	0.0
Iq	0.0
Ir	0.0
Is	22.0
It	7.0
Iu	0.0
Iv	0.0
Iw	0.0
Ix	0.0
Iy	0.0
JA	0.0
JB	0.0
JC	0.0
JD	0.0
JE	0.0
JF	0.0
JG	0.0
JH	0.0
JI	0.0
JJ	0.0
JL	0.0
JM	0.0
JN	0.0
JO	0.0
JP	0.0
JQ	0.0
JR	0.0
JS	0.0
JT	0.0
JU	0.0
JW	0.0
JY	0.0
JZ	0.0
J[	0.0
J]	0.0
Ja	3.0
Jb	0.0
Jc	0.0
Jd	0.0
Je	54.0
Jf	0.0
Jg	0.0
Jh	0.0
Ji	0.0
Jj	0.0
Jk	0.0
Jl	0.0
Jm	0.0
Jn	0.0
Jo	0.0
Jp	0.0
Jq	0.0
Jr	0.0
Js	0.0
Jt	0.0
Ju	3.0
Jv	0.0
Jw	0.0
Jx	0.0
Jy	0.0
LA	0.0
LB	0.0
LC	0.0
LD	0.0
LE	0.0
LF	0.0
LG	0.0
LH	0.0
LI	0.0
LJ	0.0
LL	0.0
LM	0.0
LN	0.0
LO	0.0
LP	0.0
LQ	0.0
LR	0.0
LS	0.0
LT	0.0
LU	0.0
LW	0.0
LY	0.0
LZ	0.0
L[	0.0
L]	0.0
La	0.0
Lb	0.0
Lc	0.0
Ld	0.0
Le	12.0
Lf	0.0
Lg	0.0
Lh	0.0
Li	0.0
Lj	0.0
Lk	0.0
Ll	0.0
Lm	0.0
Ln	0.0
Lo	45.0
Lp	0.0
Lq	0.0
Lr	0.0
Ls	0.0
Lt	0.0
Lu	1.0
Lv	0.0
Lw	0.0
Lx	0.0
Ly	0.0
MA	0.0
MB	0.0
MC	0.0
MD	0.0
ME	0.0
MF	0.0
MG	0.0
MH	0.0
MI	0.0
MJ	0.0
ML	0.0
MM	0.0
MN	0.0
MO	0.0
MP	0.0
MQ	0.0
MR	0.0
MS	0.0
MT	0.0
MU	0.0
MW	0.0
MY	0.0
MZ	0.0
M[	0.0
M]	0.0
Ma	4.0
Mb	0.0
Mc	0.0
Md	0.0
Me	0.0
Mf	0.0
Mg	0.0
Mh	0.0
Mi	0.0
Mj	0.0
Mk	0.0
Ml	0.0
Mm	0.0
Mn	0.0
Mo	4.0
Mp	0.0
Mq	0.0
Mr	0.0
Ms	0.0
Mt	0.0
Mu	2.0
Mv	0.0
Mw	0.0
Mx	0.0
My	0.0
NA	0.0
NB	0.0
NC	0.0
ND	0.0
NE	0.0
NF	0.0
NG	0.0
NH	0.0
NI	0.0
NJ	0.0
NL	0.0
NM	0.0
NN	0.0
NO	0.0
NP	0.0
NQ	0.0
NR	0.0
NS	0.0
NT	0.0
NU	0.0
NW	0.0
NY	0.0
NZ	0.0
N[	0.0
N]	0.0
Na	1.0
Nb	0.0
Nc	0.0
Nd	0.0
Ne	1.0
Nf	0.0
Ng	0.0
Nh	0.0
Ni	0.0
Nj	0.0
Nk	0.0
Nl	0.0
Nm	0.0
Nn	0.0
No	16.0
Np	0.0
Nq	0.0
Nr	0.0
Ns	0.0
Nt	0.0
Nu	0.0
Nv	0.0
Nw	0.0
Nx	0.0
Ny	0.0
OA	0.0
OB	0.0
OC	0.0
OD	0.0
OE	0.0
OF	0.0
OG	0.0
OH	0.0
OI	0.0
OJ	0.0
OL	0.0
OM	0.0
ON	0.0
OO	0.0
OP	0.0
OQ	0.0
OR	0.0
OS	0.0
OT	0.0
OU	0.0
OW	0.0
OY	0.0
OZ	0.0
O[	0.0
O]	0.0
Oa	0.0
Ob	0.0
Oc	0.0
Od	0.0
Oe	0.0
Of	1.0
Og	0.0
Oh	0.0
Oi	0.0
Oj	0.0
Ok	0.0
Ol	1.0
Om	0.0
On	2.0
Oo	0.0
Op	0.0
Oq	0.0
Or	9.0
Os	0.0
Ot	0.0
Ou	0.0
Ov	0.0
Ow	0.0
Ox	0.0
Oy	0.0
PA	0.0
PB	0.0
PC	0.0
PD	0.0
PE	0.0
PF	0.0
PG	0.0
PH	0.0
PI	0.0
PJ	0.0
PL	0.0
PM	0.0
PN	0.0
PO	0.0
PP	0.0
PQ	0.0
PR	0.0
PS	0.0
PT	0.0
PU	0.0
PW	0.0
PY	0.0
PZ	0.0
P[	0.0
P]	0.0
Pa	2.0
Pb	0.0
Pc	0.0
Pd	0.0
Pe	1.0
Pf	0.0
Pg	0.0
Ph	4.0
Pi	0.0
Pj	0.0
Pk	0.0
Pl	0.0
Pm	0.0
Pn	0.0
Po	0.0
Pp	0.0
Pq	0.0
Pr	1.0
Ps	0.0
Pt	0.0
Pu	1.0
Pv	0.0
Pw	0.0
Px	0.0
Py	0.0
QA	0.0
QB	0.0
QC	0.0
QD	0.0
QE	0.0
QF	0.0
QG	0.0
QH	0.0
QI	0.0
QJ	0.0
QL	0.0
QM	0.0
QN	0.0
QO	0.0
QP	0.0
QQ	0.0
QR	0.0
QS	0.0
QT	0.0
QU	0.0
QW	0.0
QY	0.0
QZ	0.0
Q[	0.0
Q]	0.0
Qa	0.0
Qb	0.0
Qc	0.0
Qd	0.0
Qe	0.0
Qf	0.0
Qg	0.0
Qh	0.0
Qi	0.0
Qj	0.0
Qk	0.0
Ql	0.0
Qm	0.0
Qn	0.0
Qo	0.0
Qp	0.0
Qq	0.0
Qr	0.0
Qs	0.0
Qt	0.0
Qu	1.0
Qv	0.0
Qw	0.0
Qx	0.0
Qy	0.0
RA	0.0
RB	0.0
RC	0.0
RD	0.0
RE	0.0
RF	0.0
RG	0.0
RH	0.0
RI	0.0
RJ	0.0
RL	0.0
RM	0.0
RN	0.0
RO	0.0
RP	0.0
RQ	0.0
RR	0.0
RS	0.0
RT	0.0
RU	0.0
RW	0.0
RY	0.0
RZ	0.0
R[	0.0
R]	0.0
Ra	0.0
Rb	0.0
Rc	0.0
Rd	0.0
Re	1.0
Rf	0.0
Rg	0.0
Rh	0.0
Ri	0.0
Rj	0.0
Rk	0.0
Rl	0.0
Rm	0.0
Rn	0.0
Ro	2.0
Rp	0.0
Rq	0.0
Rr	0.0
Rs	0.0
Rt	0.0
Ru	1.0
Rv	0.0
Rw	0.0
Rx	0.0
Ry	0.0
SA	0.0
SB	0.0
SC	0.0
SD	0.0
SE	0.0
SF	0.0
SG	0.0
SH	0.0
SI	0.0
SJ	0.0
SL	0.0
SM	0.0
SN	0.0
SO	0.0
SP	0.0
SQ	0.0
SR	0.0
SS	0.0
ST	0.0
SU	0.0
SW	0.0
SY	0.0
SZ	0.0
S[	0.0
S]	0.0
Sa	6.0
Sb	0.0
Sc	0.0
Sd	0.0
Se	4.0
Sf	0.0
Sg	0.0
Sh	0.0
Si	0.0
Sj	0.0
Sk	0.0
Sl	0.0
Sm	0.0
Sn	0.0
So	40.0
Sp	29.0
Sq	0.0
Sr	0.0
Ss	0.0
St	2.0
Su	0.0
Sv	0.0
Sw	0.0
Sx	0.0
Sy	0.0
TA	0.0
TB	0.0
TC	0.0
TD	0.0
TE	0.0
TF	0.0
TG	0.0
TH	0.0
TI	0.0
TJ	0.0
TL	0.0
TM	0.0
TN	0.0
TO	0.0
TP	0.0
TQ	0.0
TR	0.0
TS	0.0
TT	0.0
TU	0.0
TW	0.0
TY	0.0
TZ	0.0
T[	0.0
T]	0.0
Ta	2.0
Tb	0.0
Tc	0.0
Td	0.0
Te	1.0
Tf	0.0
Tg	0.0
Th	35.0
Ti	1.0
