alph	times
A	107.0
B	90.0
C	66.0
D	21.0
E	8.0
F	93.0
G	229.0
H	27.0
I	156.0
J	60.0
L	58.0
M	10.0
N	18.0
O	15.0
P	9.0
Q	1.0
R	4.0
S	81.0
T	48.0
U	1.0
W	59.0
Y	13.0
Z	2.0
[	1.0
]	1.0
a	2882.0
b	628.0
c	618.0
d	1430.0
e	4859.0
f	1089.0
g	979.0
h	3152.0
i	2880.0
j	39.0
k	249.0
l	1225.0
m	934.0
n	2460.0
o	3907.0
p	469.0
q	14.0
r	2212.0
s	2515.0
t	3762.0
u	1215.0
v	580.0
w	1205.0
x	11.0
y	844.0
