comb	times
ΒΦ	0.0
ΒΧ	0.0
Βά	1.0
Βέ	0.0
Βή	0.0
Βί	0.0
Βα	0.0
Ββ	0.0
Βγ	0.0
Βδ	0.0
Βε	1.0
Βζ	0.0
Βη	0.0
Βθ	0.0
Βι	0.0
Βκ	0.0
Βλ	0.0
Βμ	0.0
Βν	0.0
Βξ	0.0
Βο	0.0
Βπ	0.0
Βρ	0.0
Βς	0.0
Βσ	0.0
Βτ	0.0
Βυ	0.0
Βφ	0.0
Βχ	0.0
Βψ	0.0
Βω	0.0
Βϊ	0.0
Βϋ	0.0
Βό	0.0
Βύ	0.0
Βώ	0.0
Βἀ	0.0
Βἁ	0.0
Βἂ	0.0
Βἃ	0.0
Βἄ	0.0
Βἅ	0.0
ΒἈ	0.0
ΒἌ	0.0
Βἐ	0.0
Βἑ	0.0
Βἓ	0.0
Βἔ	0.0
Βἕ	0.0
ΒἘ	0.0
ΒἙ	0.0
ΒἜ	0.0
ΒἝ	0.0
Βἠ	0.0
Βἡ	0.0
Βἢ	0.0
Βἣ	0.0
Βἤ	0.0
Βἥ	0.0
Βἦ	0.0
ΒἨ	0.0
ΒἩ	0.0
ΒἪ	0.0
ΒἭ	0.0
Βἰ	0.0
Βἱ	0.0
Βἳ	0.0
Βἴ	0.0
Βἵ	0.0
Βἶ	0.0
Βἷ	0.0
ΒἸ	0.0
Βὀ	0.0
Βὁ	0.0
Βὃ	0.0
Βὄ	0.0
Βὅ	0.0
ΒὈ	0.0
ΒὉ	0.0
ΒὋ	0.0
ΒὍ	0.0
Βὐ	0.0
Βὑ	0.0
Βὓ	0.0
Βὔ	0.0
Βὕ	0.0
Βὖ	0.0
Βὗ	0.0
ΒὙ	0.0
Βὠ	0.0
Βὡ	0.0
Βὢ	0.0
Βὥ	0.0
Βὦ	0.0
Βὧ	0.0
ΒὩ	0.0
ΒὭ	0.0
ΒὮ	0.0
Βὰ	0.0
Βὲ	0.0
Βὴ	0.0
Βὶ	0.0
Βὸ	0.0
Βὺ	0.0
Βὼ	0.0
Βᾔ	0.0
Βᾖ	0.0
Βᾗ	0.0
Βᾧ	0.0
Βᾳ	0.0
Βᾶ	0.0
Βᾷ	0.0
Βῃ	0.0
Βῄ	0.0
Βῆ	0.0
Βῇ	0.0
Βῒ	0.0
Βῖ	0.0
Βῥ	0.0
Βῦ	0.0
ΒῬ	0.0
Βῳ	0.0
Βῴ	0.0
Βῶ	0.0
Βῷ	0.0
Β—	0.0
Β’	0.0
Β⸀	0.0
Β⸁	0.0
Β⸂	0.0
Β⸃	0.0
Γΐ	0.0
ΓΑ	0.0
ΓΒ	0.0
ΓΓ	0.0
ΓΔ	0.0
ΓΕ	0.0
ΓΖ	0.0
ΓΚ	0.0
ΓΛ	0.0
ΓΜ	0.0
ΓΝ	0.0
ΓΟ	0.0
ΓΠ	0.0
ΓΣ	0.0
ΓΤ	0.0
ΓΦ	0.0
ΓΧ	0.0
Γά	1.0
Γέ	0.0
Γή	0.0
Γί	0.0
Γα	0.0
Γβ	0.0
Γγ	0.0
Γδ	0.0
Γε	1.0
Γζ	0.0
Γη	0.0
Γθ	0.0
Γι	0.0
Γκ	0.0
Γλ	0.0
Γμ	0.0
Γν	0.0
Γξ	0.0
Γο	0.0
Γπ	0.0
Γρ	0.0
Γς	0.0
Γσ	0.0
Γτ	0.0
Γυ	0.0
Γφ	0.0
Γχ	0.0
Γψ	0.0
Γω	0.0
Γϊ	0.0
Γϋ	0.0
Γό	1.0
Γύ	0.0
Γώ	0.0
Γἀ	0.0
Γἁ	0.0
Γἂ	0.0
Γἃ	0.0
Γἄ	0.0
Γἅ	0.0
ΓἈ	0.0
ΓἌ	0.0
Γἐ	0.0
Γἑ	0.0
Γἓ	0.0
Γἔ	0.0
Γἕ	0.0
ΓἘ	0.0
ΓἙ	0.0
ΓἜ	0.0
ΓἝ	0.0
Γἠ	0.0
Γἡ	0.0
Γἢ	0.0
Γἣ	0.0
Γἤ	0.0
Γἥ	0.0
Γἦ	0.0
ΓἨ	0.0
ΓἩ	0.0
ΓἪ	0.0
ΓἭ	0.0
Γἰ	0.0
Γἱ	0.0
Γἳ	0.0
Γἴ	0.0
Γἵ	0.0
Γἶ	0.0
Γἷ	0.0
ΓἸ	0.0
Γὀ	0.0
Γὁ	0.0
Γὃ	0.0
Γὄ	0.0
Γὅ	0.0
ΓὈ	0.0
ΓὉ	0.0
ΓὋ	0.0
ΓὍ	0.0
Γὐ	0.0
Γὑ	0.0
Γὓ	0.0
Γὔ	0.0
Γὕ	0.0
Γὖ	0.0
Γὗ	0.0
ΓὙ	0.0
Γὠ	0.0
Γὡ	0.0
Γὢ	0.0
Γὥ	0.0
Γὦ	0.0
Γὧ	0.0
ΓὩ	0.0
ΓὭ	0.0
ΓὮ	0.0
Γὰ	0.0
Γὲ	0.0
Γὴ	0.0
Γὶ	0.0
Γὸ	0.0
Γὺ	0.0
Γὼ	0.0
Γᾔ	0.0
Γᾖ	0.0
Γᾗ	0.0
Γᾧ	0.0
Γᾳ	0.0
Γᾶ	0.0
Γᾷ	0.0
Γῃ	0.0
Γῄ	0.0
Γῆ	0.0
Γῇ	0.0
Γῒ	0.0
Γῖ	0.0
Γῥ	0.0
Γῦ	0.0
ΓῬ	0.0
Γῳ	0.0
Γῴ	0.0
Γῶ	0.0
Γῷ	0.0
Γ—	0.0
Γ’	0.0
Γ⸀	0.0
Γ⸁	0.0
Γ⸂	0.0
Γ⸃	0.0
Δΐ	0.0
ΔΑ	0.0
ΔΒ	0.0
ΔΓ	0.0
ΔΔ	0.0
ΔΕ	0.0
ΔΖ	0.0
ΔΚ	0.0
ΔΛ	0.0
ΔΜ	0.0
ΔΝ	0.0
ΔΟ	0.0
ΔΠ	0.0
ΔΣ	0.0
ΔΤ	0.0
ΔΦ	0.0
ΔΧ	0.0
Δά	0.0
Δέ	0.0
Δή	0.0
Δί	0.0
Δα	3.0
Δβ	0.0
Δγ	0.0
Δδ	0.0
Δε	0.0
Δζ	0.0
Δη	0.0
Δθ	0.0
Δι	9.0
Δκ	0.0
Δλ	0.0
Δμ	0.0
Δν	0.0
Δξ	0.0
Δο	0.0
Δπ	0.0
Δρ	0.0
Δς	0.0
Δσ	0.0
Δτ	0.0
Δυ	0.0
Δφ	0.0
Δχ	0.0
Δψ	0.0
Δω	0.0
Δϊ	0.0
Δϋ	0.0
Δό	0.0
Δύ	0.0
Δώ	0.0
Δἀ	0.0
Δἁ	0.0
Δἂ	0.0
Δἃ	0.0
Δἄ	0.0
Δἅ	0.0
ΔἈ	0.0
ΔἌ	0.0
Δἐ	0.0
Δἑ	0.0
Δἓ	0.0
Δἔ	0.0
Δἕ	0.0
ΔἘ	0.0
ΔἙ	0.0
ΔἜ	0.0
ΔἝ	0.0
Δἠ	0.0
Δἡ	0.0
Δἢ	0.0
Δἣ	0.0
Δἤ	0.0
Δἥ	0.0
Δἦ	0.0
ΔἨ	0.0
ΔἩ	0.0
ΔἪ	0.0
ΔἭ	0.0
Δἰ	0.0
Δἱ	0.0
Δἳ	0.0
Δἴ	0.0
Δἵ	0.0
Δἶ	0.0
Δἷ	0.0
ΔἸ	0.0
Δὀ	0.0
Δὁ	0.0
Δὃ	0.0
Δὄ	0.0
Δὅ	0.0
ΔὈ	0.0
ΔὉ	0.0
ΔὋ	0.0
ΔὍ	0.0
Δὐ	0.0
Δὑ	0.0
Δὓ	0.0
Δὔ	0.0
Δὕ	0.0
Δὖ	0.0
Δὗ	0.0
ΔὙ	0.0
Δὠ	0.0
Δὡ	0.0
Δὢ	0.0
Δὥ	0.0
Δὦ	0.0
Δὧ	0.0
ΔὩ	0.0
ΔὭ	0.0
ΔὮ	0.0
Δὰ	0.0
Δὲ	0.0
Δὴ	0.0
Δὶ	0.0
Δὸ	0.0
Δὺ	0.0
Δὼ	0.0
Δᾔ	0.0
Δᾖ	0.0
Δᾗ	0.0
Δᾧ	0.0
Δᾳ	0.0
Δᾶ	0.0
Δᾷ	0.0
Δῃ	0.0
Δῄ	0.0
Δῆ	0.0
Δῇ	0.0
Δῒ	0.0
Δῖ	0.0
Δῥ	0.0
Δῦ	0.0
ΔῬ	0.0
Δῳ	0.0
Δῴ	0.0
Δῶ	0.0
Δῷ	0.0
Δ—	0.0
Δ’	0.0
Δ⸀	0.0
Δ⸁	0.0
Δ⸂	0.0
Δ⸃	0.0
Εΐ	0.0
ΕΑ	0.0
ΕΒ	0.0
ΕΓ	0.0
ΕΔ	0.0
ΕΕ	0.0
ΕΖ	0.0
ΕΚ	0.0
ΕΛ	0.0
ΕΜ	0.0
ΕΝ	0.0
ΕΟ	0.0
ΕΠ	0.0
ΕΣ	0.0
ΕΤ	0.0
ΕΦ	0.0
ΕΧ	0.0
Εά	0.0
Εέ	0.0
Εή	0.0
Εί	0.0
Εα	0.0
Εβ	0.0
Εγ	0.0
Εδ	0.0
Εε	0.0
Εζ	0.0
Εη	0.0
Εθ	0.0
Ει	0.0
Εκ	0.0
Ελ	0.0
Εμ	0.0
Εν	0.0
Εξ	0.0
Εο	0.0
Επ	0.0
Ερ	0.0
Ες	0.0
Εσ	0.0
Ετ	0.0
Ευ	0.0
Εφ	0.0
Εχ	0.0
Εψ	0.0
Εω	0.0
Εϊ	0.0
Εϋ	0.0
Εό	0.0
Εύ	0.0
Εώ	0.0
Εἀ	0.0
Εἁ	0.0
Εἂ	0.0
Εἃ	0.0
Εἄ	0.0
Εἅ	0.0
ΕἈ	0.0
ΕἌ	0.0
Εἐ	0.0
Εἑ	0.0
Εἓ	0.0
Εἔ	0.0
Εἕ	0.0
ΕἘ	0.0
ΕἙ	0.0
ΕἜ	0.0
ΕἝ	0.0
Εἠ	0.0
Εἡ	0.0
Εἢ	0.0
Εἣ	0.0
Εἤ	0.0
Εἥ	0.0
Εἦ	0.0
ΕἨ	0.0
ΕἩ	0.0
ΕἪ	0.0
ΕἭ	0.0
Εἰ	6.0
Εἱ	0.0
Εἳ	0.0
Εἴ	0.0
Εἵ	0.0
Εἶ	0.0
Εἷ	0.0
ΕἸ	0.0
Εὀ	0.0
Εὁ	0.0
Εὃ	0.0
Εὄ	0.0
Εὅ	0.0
ΕὈ	0.0
ΕὉ	0.0
ΕὋ	0.0
ΕὍ	0.0
Εὐ	1.0
Εὑ	2.0
Εὓ	0.0
Εὔ	0.0
Εὕ	0.0
Εὖ	0.0
Εὗ	0.0
ΕὙ	0.0
Εὠ	0.0
Εὡ	0.0
Εὢ	0.0
Εὥ	0.0
Εὦ	0.0
Εὧ	0.0
ΕὩ	0.0
ΕὭ	0.0
ΕὮ	0.0
Εὰ	0.0
Εὲ	0.0
Εὴ	0.0
Εὶ	0.0
Εὸ	0.0
Εὺ	0.0
Εὼ	0.0
Εᾔ	0.0
Εᾖ	0.0
Εᾗ	0.0
Εᾧ	0.0
Εᾳ	0.0
Εᾶ	0.0
Εᾷ	0.0
Εῃ	0.0
Εῄ	0.0
Εῆ	0.0
Εῇ	0.0
Εῒ	0.0
Εῖ	0.0
Εῥ	0.0
Εῦ	0.0
ΕῬ	0.0
Εῳ	0.0
Εῴ	0.0
Εῶ	0.0
Εῷ	0.0
Ε—	0.0
Ε’	0.0
Ε⸀	0.0
Ε⸁	0.0
Ε⸂	0.0
Ε⸃	0.0
Ζΐ	0.0
ΖΑ	0.0
ΖΒ	0.0
ΖΓ	0.0
ΖΔ	0.0
ΖΕ	0.0
ΖΖ	0.0
ΖΚ	0.0
ΖΛ	0.0
ΖΜ	0.0
ΖΝ	0.0
ΖΟ	0.0
ΖΠ	0.0
ΖΣ	0.0
ΖΤ	0.0
ΖΦ	0.0
ΖΧ	0.0
Ζά	0.0
Ζέ	0.0
Ζή	0.0
Ζί	0.0
Ζα	0.0
Ζβ	0.0
Ζγ	0.0
Ζδ	0.0
Ζε	0.0
Ζζ	0.0
Ζη	0.0
Ζθ	0.0
Ζι	0.0
Ζκ	0.0
Ζλ	0.0
Ζμ	0.0
Ζν	0.0
Ζξ	0.0
Ζο	0.0
Ζπ	0.0
Ζρ	0.0
Ζς	0.0
Ζσ	0.0
Ζτ	0.0
Ζυ	0.0
Ζφ	0.0
Ζχ	0.0
Ζψ	0.0
Ζω	0.0
Ζϊ	0.0
Ζϋ	0.0
Ζό	0.0
Ζύ	0.0
Ζώ	0.0
Ζἀ	0.0
Ζἁ	0.0
Ζἂ	0.0
Ζἃ	0.0
Ζἄ	0.0
Ζἅ	0.0
ΖἈ	0.0
ΖἌ	0.0
Ζἐ	0.0
Ζἑ	0.0
Ζἓ	0.0
Ζἔ	0.0
Ζἕ	0.0
ΖἘ	0.0
